,NO.,summary
1511,18982.txt,"['“The ‘Filter Bubble’ Explains Why Trump Won and You Didn’t See It Coming,” New York magazine announced the day after the election. “Your Filter Bubble Is Destroying Democracy,” Wired declared a week out. Phil. But now, no entity is playing the filter bubble crisis more than Facebook itself. Facebook gave people what they wanted, they said, but not what they needed. So now it talks of building the “social infrastructure” for a “  community. The agitators and audiences for these new fixes have an ulterior motive for expanding their horizons, too. ” As members of the winning team, Trump supporters have no urgent need to understand the other side. Besides, it’s not too hard to find    perspectives in the news media.']"
1512,18983.txt,"['” Still, not everyone is suffering. Legislators here in São Paulo, Brazil’s largest city, voted to increase their own salaries by more than 26 percent. “It’s ridiculous to the point of being tragic. At the same time, the state is having trouble finding money to pay for food for the poor. ” “I don’t know if what I’m saying is absurd, but it’s something to ponder,” he said. “It’s absurd. Those who don’t need it get a raise.']"
1513,18984.txt,"['It did not work out that way. “I’m answering a lot more emails now than I was before,” he said. “It’s absolutely overwhelming. Within a month the two were mating, Mr. Patch said.']"
1514,18985.txt,"['She was 93. Her death, at a hospital near her home, was confirmed by her daughter, Linda  . When Paula was a few days old, she was left, at her mother’s insistence, in a foundling hospital. By the time she was 16, she was more or less on her own. When Paula was 5 months old, she was taken in by a stranger, the Rev. She lived with him till she was 6, when her parents swooped down and parceled her out somewhere else. In middle age, the daughter, Ms.   found Ms. Fox. ”']"
1515,18986.txt,"['“Only when the U. S. fully gets that the European Commission is going to act are we going to get any kind of timetable from the United States,” Mr. Moraes said. The Trump administration, finding itself in a    battle over access, would then almost certainly do the same for travelers from the European Union.']"
1516,18987.txt,"['BEIJING  —   “FAKE NEWS,” a Twitter post declared. “” another said. “Cleverly orchestrated lies,” a news article asserted. The reports about Mr. Xie, who is still in custody, were based on transcripts of his interviews with his lawyers.']"
1517,18988.txt,[]
1518,18989.txt,"['Up to now we had rumors. ” “Nobody was listening locally or in authority, from the church or the state. She said the “home babies,” as they were known, looked vulnerable and malnourished to her. That led to criticism, and some said they found discrepancies in Ms. Corless’s work. I only presented the truth.']"
1519,18990.txt,"['(Ms. LaFleur is  .) “I’m hyperaware of what I’m doing,” she said. “I’m not naïve about the political landscape of Detroit. “I won’t say I can’t do that. ”']"
1520,18991.txt,"['They were the heralds of doom. But another mystery remains. “After all, you and the Earth are made of     supernova debris.']"
1521,18992.txt,['com. com. He hit .']
1522,18993.txt,"['“We will be investigating,” Capt. “It is a potential criminal matter,” she said. We didn’t know he was allergic,” the member said. “It is not a typical hazing activity,” she said.']"
1523,18994.txt,"['My   ’s village is named Manimala, for the river that provides its reason for being. “Sand mafia,” my wife’s cousin Thambichan answered. The sand acted as an aquifer, regulating the river’s flow. They worked in groups of four or more, he said. The loads were awkward and heavy. “We’d make a staircase out of tree stumps,” he said. ” At the river’s edge, another team would load the sand into a truck. A good night’s work mining sand earned him 2, 000 rupees. So Thomas kept at it. But the most striking detail in Thomas’s story was not about the mining itself, but about the attitude of his neighbors who lived at the river’s edge. Back when there was plenty of sand, trucks came day and night to load up at the river. The sand was gone, and gone with it were the river, the groundwater and even the tolls. Both rivers are heavily mined, and it’s easy to see where all that sand goes. Some   residents began to treat their complexes as fortresses, driving out only in the daylight. By way of answering, he asked an assistant to fetch his pistol. It was     and  . “Many times,” he said. “Tens of times. Scores of times. Between the high rises, dust storms whipped the empty fields. “They feel that beauty is a beast,” the architect B. R. Ajit told me ruefully. “If you use that criterion,” he said, “the president’s house is not a house. But it’s an illusion. Nagar is the sarpanch, or head man, of his village in Greater Noida. “They’re happy with mining,” he said. River is dying: No problem. ” “People are selfish,” a younger man agreed. “If the police come, do you fight them?” I asked Nagar. “If there are a lot of police and only a few men, then we run,” he said. “If the police are few and the men are many, then we get into it with them. We fire shot for shot. The energy may change shape, but the soul never dies. With that kind of confidence, I don’t think anybody can shoot us. In some cases sand mining can even be beneficial. The catastrophes occur only when specific, vulnerable stretches of river are overmined. Singh has a different approach. “I am not in contact with anybody who is doing this,” he said. “Everything is corrupt,” he said. The associate engineer gets 1. 5 percent. “When this is given, then almost anyone can be managed,” Kasana said. “This is the system. This is India. “This can also be done,” Kasana said. That’s my experience. “For us, it’s a normal activity,” he said. “It’s not such a big deal. He scowled.']"
1524,18995.txt,"['No comment. I’m asked on a daily basis. No, it’s  . It’s quite lovely, because it didn’t start out like that. That’s what theater is supposed to do. That’s a good attitude. Or on a Ryan Murphy show. But it’s 1962, so she’s not in control of that for herself. That’s it  —   roll over and die. And that’s certainly been pushed, specifically by people like Ryan Murphy. He’s a real champion of women. It’s clearly a flawed system.']"
